ID, Beans, Bread, Cerel,ChdBby, Chips,  Corn,  Eggs,  Fish, Fruit,  Meat,  Milk,Pepper,  Rice, Salza, Sauce,  Soda,Tomato,Tortya,Vegges,YogChs
0,8.5,3.5,5.6,5.2,0.6,0.5,1.1,1.6,4.7,1,2.2,0.9,7.4,2,8.1,1,0.9,1,6.6,6
1,4.9,1.6,1,4.8,2.6,5,5.7,1.5,7.8,7.6,2.4,5.3,8.5,1.9,0.5,1.2,7,7,9,8.4
2,2,3.5,6.8,4.6,7.9,0.5,5.1,1.5,2.9,7.3,2,2,1.5,2,1,7.8,2,2,1.9,1.1
3,8,4.7,7.1,4.5,7.8,6,4.9,1.5,5.1,4.1,6.6,8.2,7.1,8,0.9,0.5,5,8,6.7,6.5
4,1.6,3.3,5.5,5.1,1.5,0.5,7.6,7.5,5.1,6.1,5.2,1,8.3,0.9,0.9,0.9,2.5,0.8,6.9,2
5,2.1,6.6,7.8,4.4,3.1,0.9,5.1,1.6,5,7,8,4.7,8.1,1,0.9,1,0.9,1,7.4,5.5
