Email,Type,URL,RECIPE NAME,Form of the Data,TOTAL VOLUME,Flour,Milk,Sugar,Butter or Margarine,Egg,Baking Powder,Vanilla,Salt,Baking Soda,Cream of tartar,cinnamon,allspice,molassas,nutmeg,ginger,cloves,Canned Pumpkin,Apple Pie Spice,Pumpkin Spice,Peeled Sweet Potatoes,Raisins,Currants,Craisins,Berries,Cranberries,Choc. Chips,Dried Cranberries,Almond Milk,Cornmeal,Eggnog,Lemon Rind Zest,Orange Peel,Chopped Walnuts,Buttermilk,Shortening,half-and-half,Maple Extract,Sour Cream,Brown Sugar,Chopped Pears,Sourdough Starter,Other Things
exs1084,Cupcake,https://www.bbc.co.uk/food/recipes/cupcakes_93722,Vanilla cupcakes,Raw Recipe,,110g,1.5T,110g,110g,.5C,,1t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exs1085,Cupcake,https://www.bbc.co.uk/food/recipes/cupcakes_93723,Vanilla cupcakes,In teaspoons,105.76,40.6,4.5,27.8,7.86,24,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exs1086,Cupcake,https://www.bbc.co.uk/food/recipes/cupcakes_93724,Vanilla cupcakes,Normalized to percent,100,38.39,4.25,26.29,7.43,22.69,0.00,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
